transaction_id,transaction_date,transaction_amount,customer_id,customer_age,customer_income,product_category,payment_method,transaction_status,profit_margin
147,3/28/2020,3908.08,147,29,815805.72,clothing,cash,pending,error: Field 'sale_price' not found
148,3/25/2020,5811.72,148,61,78010.85,electronics,check,refunded,error: Field 'sale_price' not found
149,12/2/2022,3838.6,149,75,115056.38,electronics,check,pending,error: Field 'sale_price' not found
150,12/3/2022,3361.88,150,61,277518.48,electronics,credit card,completed,error: Field 'sale_price' not found
151,9/6/2021,8837.53,151,92,80658.86,electronics,credit card,pending,error: Field 'sale_price' not found
152,12/27/2021,3549.6,152,28,121718.1,clothing,cash,refunded,error: Field 'sale_price' not found
153,8/21/2021,1573.07,153,93,263338.85,clothing,credit card,completed,error: Field 'sale_price' not found
154,9/11/2022,7941.52,154,69,368406.48,electronics,cash,refunded,error: Field 'sale_price' not found
155,5/21/2020,6804.54,155,42,691780.09,groceries,credit card,completed,error: Field 'sale_price' not found
156,8/20/2020,3705.68,156,100,782267.42,groceries,check,refunded,error: Field 'sale_price' not found
157,11/6/2020,6792.19,157,60,773465.81,groceries,check,pending,error: Field 'sale_price' not found
158,5/28/2022,7441.94,158,61,556143.41,clothing,cash,refunded,error: Field 'sale_price' not found
159,4/25/2022,6479.9,159,99,197878.86,electronics,credit card,refunded,error: Field 'sale_price' not found
160,11/11/2022,5193.4,160,56,865734.19,electronics,check,refunded,error: Field 'sale_price' not found
161,4/4/2022,7871.71,161,89,473349.36,clothing,cash,completed,error: Field 'sale_price' not found
162,6/19/2020,2023.76,162,85,209462.29,electronics,cash,pending,error: Field 'sale_price' not found
163,9/15/2020,1690.61,163,62,513702.96,electronics,check,pending,error: Field 'sale_price' not found
164,3/18/2022,6664.94,164,44,996976.71,clothing,credit card,refunded,error: Field 'sale_price' not found
165,1/16/2020,5465.55,165,19,372596.13,clothing,cash,refunded,error: Field 'sale_price' not found
166,1/13/2020,245.84,166,94,17659.6,electronics,check,completed,error: Field 'sale_price' not found
167,4/1/2021,9220.86,167,62,249899.21,clothing,cash,completed,error: Field 'sale_price' not found
168,3/3/2021,4498.17,168,74,786765.28,groceries,check,pending,error: Field 'sale_price' not found
169,11/18/2020,9439.3,169,97,987861.67,groceries,cash,refunded,error: Field 'sale_price' not found
170,5/26/2020,8947.99,170,36,102468.83,groceries,credit card,completed,error: Field 'sale_price' not found
171,7/24/2020,197.22,171,43,209616.78,electronics,cash,completed,error: Field 'sale_price' not found
172,7/11/2021,4485.59,172,18,787123.61,electronics,credit card,completed,error: Field 'sale_price' not found
173,3/12/2022,3204.68,173,44,582933.88,clothing,credit card,pending,error: Field 'sale_price' not found
174,3/5/2021,1793.13,174,21,283908.71,groceries,check,pending,error: Field 'sale_price' not found
175,9/10/2022,1551.05,175,51,634193.78,clothing,check,pending,error: Field 'sale_price' not found
176,10/25/2020,7696.21,176,90,317255.41,clothing,check,completed,error: Field 'sale_price' not found
177,7/15/2020,689.44,177,80,222809.0,electronics,check,refunded,error: Field 'sale_price' not found
178,3/19/2020,1656.69,178,88,582073.83,groceries,credit card,pending,error: Field 'sale_price' not found
179,6/15/2020,8544.67,179,100,404495.84,electronics,cash,refunded,error: Field 'sale_price' not found
180,9/16/2020,9477.67,180,88,370180.57,clothing,check,refunded,error: Field 'sale_price' not found
181,12/19/2022,8464.46,181,30,220773.04,electronics,check,completed,error: Field 'sale_price' not found
182,12/19/2021,1863.26,182,66,318457.78,electronics,check,pending,error: Field 'sale_price' not found
183,5/20/2020,3250.25,183,94,551857.55,clothing,cash,pending,error: Field 'sale_price' not found
184,7/2/2022,4488.53,184,20,34711.97,clothing,credit card,completed,error: Field 'sale_price' not found
185,1/28/2022,2386.61,185,40,772273.04,groceries,cash,pending,error: Field 'sale_price' not found
186,5/16/2022,5272.93,186,82,162817.91,electronics,credit card,completed,error: Field 'sale_price' not found
187,10/2/2021,8990.1,187,48,777935.54,electronics,check,refunded,error: Field 'sale_price' not found
188,2/12/2020,4450.77,188,29,537666.74,clothing,credit card,refunded,error: Field 'sale_price' not found
189,7/13/2022,226.92,189,88,566512.61,electronics,cash,completed,error: Field 'sale_price' not found
190,12/1/2020,754.51,190,35,302601.41,electronics,check,pending,error: Field 'sale_price' not found
191,9/19/2022,1568.06,191,94,74218.85,groceries,check,refunded,error: Field 'sale_price' not found
192,9/13/2021,8531.42,192,62,355729.2,clothing,credit card,pending,error: Field 'sale_price' not found
193,4/4/2021,472.61,193,95,923495.6,groceries,credit card,refunded,error: Field 'sale_price' not found
194,5/3/2022,3066.5,194,20,499751.84,groceries,check,completed,error: Field 'sale_price' not found
195,11/22/2020,9614.27,195,28,742310.82,groceries,cash,refunded,error: Field 'sale_price' not found
196,1/24/2022,4834.88,196,82,925662.29,electronics,credit card,completed,error: Field 'sale_price' not found
197,12/8/2021,1568.96,197,88,834939.31,clothing,cash,pending,error: Field 'sale_price' not found
198,3/31/2020,4867.03,198,82,770177.33,clothing,cash,refunded,error: Field 'sale_price' not found
199,1/11/2022,7585.97,199,52,926115.87,electronics,cash,completed,error: Field 'sale_price' not found
200,12/27/2021,1756.96,200,42,21738.87,groceries,cash,pending,error: Field 'sale_price' not found
201,8/3/2022,8810.88,201,66,450021.0,electronics,check,completed,error: Field 'sale_price' not found
202,4/5/2022,1049.26,202,50,955452.21,electronics,cash,refunded,error: Field 'sale_price' not found
203,12/10/2022,3721.66,203,63,689440.16,groceries,check,pending,error: Field 'sale_price' not found
204,7/14/2022,8360.11,204,73,241757.6,clothing,check,refunded,error: Field 'sale_price' not found
205,2/19/2021,8236.73,205,71,419448.23,groceries,cash,refunded,error: Field 'sale_price' not found
206,3/21/2021,9436.1,206,69,327081.81,clothing,credit card,completed,error: Field 'sale_price' not found
207,2/28/2021,3166.41,207,42,800523.87,groceries,cash,pending,error: Field 'sale_price' not found
208,10/11/2021,1040.19,208,68,335920.62,groceries,credit card,pending,error: Field 'sale_price' not found
209,1/24/2021,1482.32,209,61,216668.91,groceries,check,refunded,error: Field 'sale_price' not found
210,7/3/2020,1448.89,210,60,584140.91,clothing,credit card,refunded,error: Field 'sale_price' not found
211,11/18/2021,7399.89,211,89,762250.25,electronics,cash,refunded,error: Field 'sale_price' not found
212,12/7/2022,6736.72,212,37,237156.1,groceries,check,refunded,error: Field 'sale_price' not found
213,6/29/2022,4555.82,213,45,622475.52,clothing,credit card,pending,error: Field 'sale_price' not found
214,6/2/2022,7769.78,214,21,346015.04,electronics,check,pending,error: Field 'sale_price' not found
215,7/23/2022,5396.97,215,33,65638.79,electronics,check,refunded,error: Field 'sale_price' not found
216,2/2/2020,2569.38,216,50,13745.75,groceries,cash,refunded,error: Field 'sale_price' not found
217,7/9/2020,6316.14,217,24,111392.46,clothing,check,refunded,error: Field 'sale_price' not found
218,8/7/2020,7825.77,218,47,864763.22,groceries,cash,pending,error: Field 'sale_price' not found
219,12/1/2020,9035.74,219,50,527215.96,clothing,cash,pending,error: Field 'sale_price' not found
220,7/20/2022,1775.06,220,97,190192.27,clothing,cash,refunded,error: Field 'sale_price' not found
221,1/24/2021,2162.49,221,89,441227.6,groceries,check,completed,error: Field 'sale_price' not found
222,1/20/2022,9144.73,222,91,861689.55,groceries,credit card,completed,error: Field 'sale_price' not found
223,9/22/2022,1183.57,223,71,175048.08,groceries,credit card,completed,error: Field 'sale_price' not found
224,2/28/2021,7978.56,224,65,756068.14,electronics,check,refunded,error: Field 'sale_price' not found
225,2/28/2022,1862.13,225,46,503484.23,clothing,cash,pending,error: Field 'sale_price' not found
226,7/12/2020,7660.0,226,83,851360.04,groceries,cash,pending,error: Field 'sale_price' not found
227,5/30/2022,977.89,227,91,242904.47,groceries,cash,refunded,error: Field 'sale_price' not found
228,12/5/2021,1082.26,228,38,727401.64,clothing,check,completed,error: Field 'sale_price' not found
229,4/13/2021,7087.34,229,77,408348.59,clothing,credit card,completed,error: Field 'sale_price' not found
230,11/11/2020,2571.85,230,43,269295.88,electronics,credit card,completed,error: Field 'sale_price' not found
231,1/16/2022,852.67,231,37,796843.37,groceries,check,completed,error: Field 'sale_price' not found
232,2/26/2021,1703.31,232,69,744221.26,clothing,check,pending,error: Field 'sale_price' not found
233,8/11/2020,8838.95,233,24,698830.69,groceries,credit card,completed,error: Field 'sale_price' not found
234,10/1/2022,9940.44,234,26,243521.0,clothing,check,completed,error: Field 'sale_price' not found
235,7/16/2022,270.66,235,72,562307.9,electronics,cash,refunded,error: Field 'sale_price' not found
236,11/22/2021,224.69,236,65,795547.01,clothing,credit card,pending,error: Field 'sale_price' not found
237,10/27/2020,5633.19,237,37,515418.69,groceries,credit card,completed,error: Field 'sale_price' not found
238,9/30/2020,3148.2,238,83,135581.36,groceries,credit card,refunded,error: Field 'sale_price' not found
239,2/28/2021,6304.46,239,35,282235.37,groceries,cash,pending,error: Field 'sale_price' not found
240,8/29/2021,8131.24,240,25,626935.49,clothing,check,refunded,error: Field 'sale_price' not found
241,7/24/2022,7003.24,241,40,294980.04,clothing,credit card,refunded,error: Field 'sale_price' not found
242,1/24/2022,2728.81,242,82,292258.31,electronics,check,pending,error: Field 'sale_price' not found
243,4/19/2021,8699.67,243,77,577369.73,electronics,cash,pending,error: Field 'sale_price' not found
244,12/1/2021,5910.95,244,44,308449.7,electronics,credit card,refunded,error: Field 'sale_price' not found
245,6/11/2021,7675.77,245,81,907084.83,electronics,credit card,refunded,error: Field 'sale_price' not found
246,9/6/2022,1016.71,246,49,224719.49,clothing,check,pending,error: Field 'sale_price' not found
247,7/8/2020,6832.29,247,25,651067.36,clothing,credit card,completed,error: Field 'sale_price' not found
248,10/26/2020,4431.13,248,74,544657.6,clothing,credit card,completed,error: Field 'sale_price' not found
249,6/18/2022,6443.44,249,87,479600.01,clothing,credit card,refunded,error: Field 'sale_price' not found
250,7/20/2021,537.38,250,53,591649.78,electronics,cash,refunded,error: Field 'sale_price' not found
251,5/21/2022,2526.53,251,63,19043.35,clothing,cash,completed,error: Field 'sale_price' not found
252,8/23/2022,5231.64,252,91,701111.83,clothing,cash,completed,error: Field 'sale_price' not found
253,8/14/2022,8220.55,253,33,238462.4,electronics,cash,completed,error: Field 'sale_price' not found
254,2/12/2020,2392.33,254,60,765209.69,electronics,credit card,pending,error: Field 'sale_price' not found
255,9/15/2022,3630.42,255,55,639176.57,clothing,cash,completed,error: Field 'sale_price' not found
256,11/30/2021,1142.82,256,86,706522.16,groceries,check,refunded,error: Field 'sale_price' not found
257,5/20/2022,6333.08,257,81,593650.41,clothing,check,completed,error: Field 'sale_price' not found
258,6/1/2020,5128.08,258,100,30996.18,electronics,check,refunded,error: Field 'sale_price' not found
259,12/13/2022,44.45,259,61,463927.08,electronics,cash,refunded,error: Field 'sale_price' not found
260,10/16/2022,8948.71,260,27,822757.52,clothing,credit card,pending,error: Field 'sale_price' not found
261,1/24/2022,177.57,261,54,163246.0,groceries,credit card,refunded,error: Field 'sale_price' not found
262,8/13/2020,3630.77,262,95,205038.84,clothing,check,refunded,error: Field 'sale_price' not found
263,6/11/2022,7546.81,263,47,128026.2,clothing,check,pending,error: Field 'sale_price' not found
264,4/29/2020,6121.69,264,99,619762.99,groceries,check,pending,error: Field 'sale_price' not found
265,5/19/2021,8950.11,265,74,329611.0,electronics,cash,completed,error: Field 'sale_price' not found
266,5/2/2021,2882.87,266,57,332471.6,clothing,credit card,refunded,error: Field 'sale_price' not found
267,5/31/2022,6680.15,267,61,196760.89,clothing,check,completed,error: Field 'sale_price' not found
268,6/15/2022,3240.97,268,19,892474.93,clothing,cash,completed,error: Field 'sale_price' not found
269,4/4/2021,2341.38,269,26,614897.67,clothing,cash,completed,error: Field 'sale_price' not found
270,2/28/2022,1903.02,270,74,392424.09,clothing,check,refunded,error: Field 'sale_price' not found
271,10/19/2022,1844.17,271,36,19019.14,electronics,cash,refunded,error: Field 'sale_price' not found
272,5/15/2020,1085.13,272,31,892798.86,electronics,check,refunded,error: Field 'sale_price' not found
273,10/24/2021,4347.92,273,71,948977.09,groceries,credit card,pending,error: Field 'sale_price' not found
274,11/30/2022,6511.07,274,92,548448.91,clothing,cash,completed,error: Field 'sale_price' not found
275,4/11/2020,3551.27,275,32,330329.18,clothing,check,refunded,error: Field 'sale_price' not found
276,10/2/2021,7279.77,276,29,153251.42,groceries,credit card,pending,error: Field 'sale_price' not found
277,10/21/2022,8704.56,277,19,573560.59,electronics,cash,pending,error: Field 'sale_price' not found
278,12/3/2020,2984.81,278,39,458171.62,electronics,credit card,refunded,error: Field 'sale_price' not found
279,11/29/2021,4807.15,279,91,282367.77,groceries,check,pending,error: Field 'sale_price' not found
280,7/10/2021,7151.25,280,60,301511.57,electronics,credit card,completed,error: Field 'sale_price' not found
281,8/16/2020,217.1,281,47,104717.23,clothing,credit card,refunded,error: Field 'sale_price' not found
282,3/2/2020,2219.1,282,53,148801.37,electronics,credit card,completed,error: Field 'sale_price' not found
283,7/3/2022,2501.86,283,81,747561.8,groceries,cash,refunded,error: Field 'sale_price' not found
284,9/16/2022,4846.5,284,54,449769.57,groceries,cash,pending,error: Field 'sale_price' not found
285,12/25/2022,2863.47,285,89,248955.99,electronics,credit card,refunded,error: Field 'sale_price' not found
286,11/15/2021,6414.87,286,95,967742.47,electronics,cash,pending,error: Field 'sale_price' not found
287,3/18/2022,7995.28,287,86,151939.36,clothing,check,pending,error: Field 'sale_price' not found
288,1/2/2020,7947.85,288,91,830504.25,clothing,credit card,completed,error: Field 'sale_price' not found
289,7/19/2022,1998.66,289,20,202586.14,electronics,cash,pending,error: Field 'sale_price' not found
290,9/27/2021,1611.99,290,51,318863.83,clothing,cash,completed,error: Field 'sale_price' not found
291,6/2/2020,2137.63,291,63,543877.72,groceries,check,completed,error: Field 'sale_price' not found
292,3/6/2020,4811.24,292,100,207323.35,groceries,credit card,pending,error: Field 'sale_price' not found
293,7/28/2020,450.32,293,21,838304.16,groceries,credit card,pending,error: Field 'sale_price' not found
